model,metric,mean,sd,p2.5,p97.5
Logistic regression,roc_auc,0.9430612244897959,0.04034627294981871,0.8571428571428572,1.0
Logistic regression,pr_auc,0.9250476190476191,0.053112297067376434,0.8123809523809524,1.0
Logistic regression,accuracy,0.9607619047619046,0.02770201004519741,0.9028571428571429,1.0
Logistic regression,balanced_accuracy,0.9428571428571427,0.040406101782088415,0.8571428571428572,1.0
Logistic regression,f1,0.9374358974358974,0.04577048766499419,0.8333333333333334,1.0
Logistic regression,sensitivity,0.8857142857142857,0.08081220356417687,0.7142857142857143,1.0
Logistic regression,specificity,1.0,0.0,1.0,1.0
Random forest,roc_auc,0.9428571428571427,0.040406101782088415,0.8571428571428572,1.0
Random forest,pr_auc,0.924952380952381,0.053146441251386484,0.8123809523809524,1.0
Random forest,accuracy,0.9607619047619046,0.02770201004519741,0.9028571428571429,1.0
Random forest,balanced_accuracy,0.9428571428571427,0.040406101782088415,0.8571428571428572,1.0
Random forest,f1,0.9374358974358974,0.04577048766499419,0.8333333333333334,1.0
Random forest,sensitivity,0.8857142857142857,0.08081220356417687,0.7142857142857143,1.0
Random forest,specificity,1.0,0.0,1.0,1.0
Extra Trees,roc_auc,0.9428571428571427,0.040406101782088415,0.8571428571428572,1.0
Extra Trees,pr_auc,0.9249523809523811,0.053146441251386484,0.8123809523809524,1.0
Extra Trees,accuracy,0.9607619047619046,0.02770201004519741,0.9028571428571429,1.0
Extra Trees,balanced_accuracy,0.9428571428571427,0.040406101782088415,0.8571428571428572,1.0
Extra Trees,f1,0.9374358974358974,0.04577048766499419,0.8333333333333334,1.0
Extra Trees,sensitivity,0.8857142857142857,0.08081220356417687,0.7142857142857143,1.0
Extra Trees,specificity,1.0,0.0,1.0,1.0
